  9.9950656E-01  1.0000000E+00  9.9950656E-01 -3.1410759E-02  9.9852005E-01 -5.4378185E-02  8.5445165E-04  9.9704119E-01 -7.6845442E-02  1.9096692E-03 -2.4500520E-05  9.9507108E-01 -9.9109110E-02  3.3054678E-03 -6.4790297E-05  7.1987611E-07  9.9261118E-01 -1.2123356E-01  5.0450323E-03 -1.2950067E-04  2.1585627E-06 -2.1451489E-08
  9.9802673E-01  1.0000000E+00  9.9802673E-01 -6.2790520E-02  9.9408603E-01 -1.0854176E-01  3.4144345E-03  9.8818955E-01 -1.5304674E-01  7.6198419E-03 -1.9571416E-04  9.8035476E-01 -1.9680195E-01  1.3163220E-02 -5.1678920E-04  1.1495301E-05  9.7060481E-01 -2.3984076E-01  2.0040980E-02 -1.0310285E-03  3.4417852E-05 -6.8475573E-07
  9.9556196E-01  1.0000000E+00  9.9556196E-01 -9.4108313E-02  9.8671544E-01 -1.6227698E-01  7.6698454E-03  9.7351929E-01 -2.2796541E-01  1.7074182E-02 -6.5890678E-04  9.5606128E-01 -2.9168399E-01  2.9398257E-02 -1.7355666E-03  5.8003740E-05  9.3445741E-01 -3.5325708E-01  4.4573922E-02 -3.4518684E-03  1.7323895E-04 -5.1785150E-06
  9.9211470E-01  1.0000000E+00  9.9211470E-01 -1.2533323E-01  9.7643737E-01 -2.1537176E-01  1.3603890E-02  9.5315332E-01 -3.0097432E-01  3.0179359E-02 -1.5564628E-03  9.2253745E-01 -3.8240391E-01  5.1722061E-02 -4.0855417E-03  1.8247737E-04  8.8495069E-01 -4.5904017E-01  7.7965671E-02 -8.0904801E-03  5.4311544E-04 -2.1696841E-05
  9.8768834E-01  1.0000000E+00  9.8768834E-01 -1.5643447E-01  9.6329239E-01 -2.6761657E-01  2.1193150E-02  9.2726221E-01 -3.7146312E-01  4.6805883E-02 -3.0264767E-03  8.8026133E-01 -4.6767426E-01  7.9737283E-02 -7.9087215E-03  4.4286749E-04  8.2315317E-01 -5.5492725E-01  1.1929098E-01 -1.5573716E-02  1.3122452E-03 -6.5724531E-05
  9.8228725E-01  1.0000000E+00  9.8228725E-01 -1.8738131E-01  9.4733236E-01 -3.1880521E-01  3.0407674E-02  8.9606267E-01 -4.3884374E-01  6.6789271E-02 -5.2013832E-03  8.2983487E-01 -5.4629126E-01  1.1294418E-01 -1.3517811E-02  9.1169414E-04  7.5039505E-01 -6.3888815E-01  1.6740102E-01 -2.6435949E-02  2.6866366E-03 -1.6206779E-04
  9.7591676E-01  1.0000000E+00  9.7591676E-01 -2.1814324E-01  9.2862029E-01 -3.6873568E-01  4.1211095E-02  8.5981567E-01 -5.0255546E-01  8.9931520E-02 -8.2066383E-03  7.7197470E-01 -6.1715320E-01  1.5074874E-01 -2.1189811E-02  1.6746000E-03  6.6823695E-01 -7.0917269E-01  2.2095260E-01 -4.1100676E-02  4.9028106E-03 -3.4655654E-04
  9.6858316E-01  1.0000000E+00  9.6858316E-01 -2.4868989E-01  9.0723001E-01 -4.1721092E-01  5.3560779E-02  8.1882408E-01 -5.6206993E-01  1.1600289E-01 -1.2159463E-02  7.0750112E-01 -6.7927728E-01  1.9247229E-01 -3.1160206E-02  2.8286326E-03  5.7843334E-01 -7.6435131E-01  2.7844231E-01 -5.9865086E-02  8.2192976E-03 -6.6735346E-04
  9.6029369E-01  1.0000000E+00  9.6029369E-01 -2.7899111E-01  8.8324594E-01 -4.6403962E-01  6.7407986E-02  7.7343005E-01 -6.1689579E-01  1.4474395E-01 -1.7167659E-02  6.3732553E-01 -7.3181459E-01  2.3736258E-01 -4.3617842E-02  4.4802832E-03  4.8289138E-01 -8.0334797E-01  3.3824477E-01 -8.2888022E-02  1.2907163E-02 -1.1858154E-03
  9.5105652E-01  1.0000000E+00  9.5105652E-01 -3.0901699E-01  8.5676275E-01 -5.0903696E-01  8.2698067E-02  7.2401198E-01 -6.6658301E-01  1.7586794E-01 -2.3328515E-02  5.6243648E-01 -7.7406293E-01  2.8460596E-01 -5.8700587E-02  6.7433157E-03  3.8362640E-01 -8.2546446E-01  3.9865414E-01 -1.1018168E-01  1.9239823E-02 -1.9768654E-03
